id,date,province,city,vendor,area,gridid,height,longitude,latitude,imsregfailurenum,cnvolteconnfailurenum,cnvoltedropnum,bsrvcchofailurenum,asrvcchofailurenum,esrvcchofailurenum,srvcchofailurenum,vvcondelaytoohighnum,intecondelaytoohighnum,report_id
6106613,2018/8/9,贵州,贵阳,大唐,村庄,0,0,,,0,3,0,0,0,0,0,0,0,11962
6106614,2018/8/9,贵州,贵阳,华为,低层居民区,0,0,,,8,19,0,0,0,0,0,0,0,11962
6106615,2018/8/9,贵州,贵阳,大唐,高层居民区,0,0,,,24,3,0,0,0,0,0,0,0,11962
6106616,2018/8/9,贵州,贵阳,华为,企事业单位,0,0,,,0,1,0,0,0,0,0,0,0,11962
6106617,2018/8/9,贵州,贵阳,大唐,商业中心,0,0,,,1,5,0,0,0,0,0,0,0,11962
6106618,2018/8/9,贵州,贵阳,华为,高层居民区,0,0,,,62,4,1,0,0,1,1,0,0,11962
6106619,2018/8/9,贵州,,,,0,0,,,0,0,0,0,0,0,0,0,0,11962
6106620,2018/8/9,贵州,贵阳,华为,写字楼,0,0,,,0,0,0,0,0,0,0,0,0,11962
6106621,2018/8/9,贵州,贵阳,大唐,低层居民区,0,0,,,2,4,0,0,0,0,0,0,0,11962
6106622,2018/8/9,贵州,贵阳,大唐,高速公路,0,0,,,0,0,0,0,0,0,0,0,0,11962
